,Unnamed: 0,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws,Plant Height Unit,Fruit Size Unit
0,0,42 days,https://njaes.rutgers.edu/tomato-varieties/variety.php?42+days,,Garden,Open Pollinated,Very Early,Normal,Determinate,2,3,Round,Red,Red,Tomato Flavor,Very few seeds. Compact plant.,,,,,,,ft.,oz.
1,1,506 Bush,https://njaes.rutgers.edu/tomato-varieties/variety.php?506+Bush,,Heirloom,Open Pollinated,Early,Narrow,Determinate,2,6,Round,Red,Red,Mild,Mild flavor hint of sweetness.  Very compact plants.,,,,,,,ft.,oz.
2,2,A Grappoli D'Inverno,https://njaes.rutgers.edu/tomato-varieties/variety.php?A+Grappoli+D'Inverno,,Heirloom,Open Pollinated,Early,Normal,Semi-Determinate,4,1,Grape,Red,Red,,Roma/grape (winter grape).,Italy,,,,,,ft.,oz.
3,3,Abracazebra,https://njaes.rutgers.edu/tomato-varieties/variety.php?Abracazebra,,Garden,Open Pollinated,Late,Normal,Indeterminate,4,1,Cherry,Bi-color,Yellow,Sweet,Yellow fruit with green stripes. A cherry version of 'Green Zebra'.,,,,,,,ft.,oz.
4,4,Ace,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ace,,Garden,Hybrid,Mid,Normal,Determinate,4,8,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
5,5,Amai,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amai,,Commercial,Hybrid,Mid,Normal,Indeterminate,8,,Grape,Red,Red,,,,,,,,,ft.,
6,6,Amana Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amana+Orange,,Heirloom,Open Pollinated,Early,Narrow,Indeterminate,,10,Beefsteak,Orange,Orange,Mild,Sweet flavor at times somewhat bland.,USA,"From Amana, Iowa.",Fresh,"Seed Exchange, Commercial",,,,oz.
7,7,Amarillo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amarillo,,Specialty,Hybrid,Early,Normal,Indeterminate,8,0.5,Cherry,Golden,Golden,,Good marks for flavor at Somerset 4-H Fair.,,,Fresh,Commercial,,,ft.,oz.
8,8,Amelia,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amelia,,Commercial,Hybrid,Mid,Normal,,4,12,Flattened Globe,Red,Red,,A firm commercial variety grown by local farmers.,USA,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",,ft.,oz.
9,9,Amish Gold Slicer,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amish+Gold+Slicer,,,Open Pollinated,Mid,,Indeterminate,5,6,Round,Orange,Orange,,,,,,,,,ft.,oz.
10,10,Amish Paste,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amish+Paste,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5,1.3,Plum,Pink,Pink,Sweet,"Somewhat sweet, can be bland, mealy.",USA,Saved by the Amish.,Fresh,Commercial,,"Cracks, Uneven Ripening",ft.,oz.
11,11,Amsterdam,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amsterdam,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.75,Grape,Red,Red,,Fruit grow in clusters.,,,,,,,ft.,oz.
12,12,Ananas Noire,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ananas+Noire,,Specialty,Open Pollinated,Late,Normal,Indeterminate,6,16,Beefsteak,Bi-color,Bi-color,,Unique color combination of yellow with red and purple streaks.,,,,,,,ft.,oz.
13,13,Andiamo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Andiamo,,Heirloom,Open Pollinated,Very Early,Normal,Indeterminate,5,6,Plum,Red,Red,,Fruit elongated San Marzano type.,Italy,,,,,,ft.,oz.
14,14,Andrew Rahart's Jumbo Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Andrew+Rahart's+Jumbo+Red,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7,12,Flattened Globe,Red,Red,,,USA,From New York.,,,,,ft.,oz.
15,15,Andrina,https://njaes.rutgers.edu/tomato-varieties/variety.php?Andrina,,Heirloom,Open Pollinated,Early,Normal,Determinate,6,1,Cherry,Red,Red,,Strong tangy flavor?,Russia,,Fresh,Seed Exchange,,,ft.,oz.
