,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
0,42 days,https://njaes.rutgers.edu/tomato-varieties/variety.php?42+days,,Garden,Open Pollinated,Very Early,Normal,Determinate,2 ft.,3 oz.,Round,Red,Red,Tomato Flavor,Very few seeds. Compact plant.,,,,,,
1,506 Bush,https://njaes.rutgers.edu/tomato-varieties/variety.php?506+Bush,,Heirloom,Open Pollinated,Early,Narrow,Determinate,2 ft.,6 oz.,Round,Red,Red,Mild,Mild flavor hint of sweetness.  Very compact plants.,,,,,,
2,A Grappoli D'Inverno,https://njaes.rutgers.edu/tomato-varieties/variety.php?A+Grappoli+D'Inverno,,Heirloom,Open Pollinated,Early,Normal,Semi-Determinate,4 ft.,1 oz.,Grape,Red,Red,,Roma/grape (winter grape).,Italy,,,,,
3,Abracazebra,https://njaes.rutgers.edu/tomato-varieties/variety.php?Abracazebra,,Garden,Open Pollinated,Late,Normal,Indeterminate,4 ft.,1 oz.,Cherry,Bi-color,Yellow,Sweet,Yellow fruit with green stripes. A cherry version of 'Green Zebra'.,,,,,,
4,Ace,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ace,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
5,Amai,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amai,,Commercial,Hybrid,Mid,Normal,Indeterminate,8 ft.,,Grape,Red,Red,,,,,,,,
6,Amana Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amana+Orange,,Heirloom,Open Pollinated,Early,Narrow,Indeterminate,,10 oz.,Beefsteak,Orange,Orange,Mild,Sweet flavor at times somewhat bland.,USA,"From Amana, Iowa.",Fresh,"Seed Exchange, Commercial",,
7,Amarillo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amarillo,,Specialty,Hybrid,Early,Normal,Indeterminate,8 ft.,0.5 oz.,Cherry,Golden,Golden,,Good marks for flavor at Somerset 4-H Fair.,,,Fresh,Commercial,,
8,Amelia,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amelia,,Commercial,Hybrid,Mid,Normal,,4 ft.,12 oz.,Flattened Globe,Red,Red,,A firm commercial variety grown by local farmers.,USA,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",
9,Amish Gold Slicer,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amish+Gold+Slicer,,,Open Pollinated,Mid,,Indeterminate,5 ft.,6 oz.,Round,Orange,Orange,,,,,,,,
10,Amish Paste,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amish+Paste,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,1.3 oz.,Plum,Pink,Pink,Sweet,"Somewhat sweet, can be bland, mealy.",USA,Saved by the Amish.,Fresh,Commercial,,"Cracks, Uneven Ripening"
11,Amsterdam,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amsterdam,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.75 oz.,Grape,Red,Red,,Fruit grow in clusters.,,,,,,
